game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It
extermination,21.0,19.0,Deep Space,playstation-2,1.0,3651.0,2001,Action,Sony,0.21,0.16,0.12,0.05,0.54,67,6.78,51.69,0.0,40.68,0.85,0.0,1.49,0.0,34.33,0.0,22.39,10.45,4.48,0.0,26.87,30.34,19.66,8.12,24.36,17.52
eyepet,12.0,35.0,SCEE London Studio,playstation-3,1.0,4197.5,2009,Simulation,Sony,0.37,0.6900000000000001,0.04,0.18,1.28,70,37.5,22.92,35.42,4.17,0.0,0.0,0.0,0.0,20.0,6.67,53.33,13.33,6.67,0.0,0.0,10.62,11.5,8.85,41.59,27.43
f-14 tomcat,4.0,8.0,Virtucraft,game-boy-advance,1.0,2916.0,2001,Action,Majesco,0.5,0.19,0.0,0.01,0.7,67,3.7,14.81,0.0,55.56,25.93,0.0,0.0,0.0,42.86,0.0,14.29,14.29,0.0,0.0,28.57,25.0,11.11,8.33,30.56,25.0
f-zero gx,245.0,50.0,Amusement Vision,gamecube,1.0,3103.0,2003,Racing,Nintendo,0.41,0.11,0.12,0.02,0.66,89,0.29,8.81,0.1,46.47,44.34,0.6,19.88,0.8,7.83,0.2,17.67,2.61,33.53,13.45,3.41,30.55,17.2,11.83,27.73,12.7
f-zero: gp legend,32.0,31.0,Suzak,game-boy-advance,1.0,8643.0,2003,Racing,Nintendo,0.11,0.04,0.0,0.0,0.15,77,4.42,54.14,1.1,33.7,6.63,0.0,2.91,0.0,19.42,2.91,48.54,5.83,12.62,1.94,5.83,27.22,23.42,7.91,27.53,13.92
f-zero: maximum velocity,41.0,19.0,Nd Cube,game-boy-advance,1.0,2002.0,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,86,1.94,20.0,0.28,61.94,15.83,1.33,5.33,0.67,16.0,7.33,41.33,8.67,6.67,2.0,10.67,20.15,14.7,8.03,36.21,20.91
f.e.a.r. 2: project origin,112.0,68.0,Monolith Productions,"playstation-3, xbox-360, pc",3.0,6601.67,2009,Shooter,Warner Bros. Interactive Entertainment,0.52,0.41,0.01,0.14,1.08,77,12.98,77.29,1.47,7.67,0.59,0.0,0.0,0.38,49.43,0.0,10.27,3.04,0.38,0.38,36.12,55.96,17.98,4.4,8.99,12.66
f.e.a.r. 3,174.0,71.0,Day 1 Studios,"playstation-3, xbox-360, pc",3.0,5771.67,2011,Shooter,Warner Bros. Interactive Entertainment,0.5499999999999999,0.36,0.02,0.14,1.0699999999999998,75,15.87,72.22,2.38,9.13,0.4,0.0,0.0,0.0,25.13,0.0,9.23,16.92,1.54,1.03,46.15,57.61,16.03,4.08,8.97,13.32
f.e.a.r. files,17.0,43.0,Day 1 Studios,xbox-360,1.0,11172.0,2007,Shooter,Vivendi Games,0.07,0.01,0.0,0.01,0.09,66,1.25,76.25,2.5,17.5,2.5,0.0,1.79,0.0,42.86,0.0,23.21,10.71,5.36,0.0,16.07,51.56,10.94,5.73,10.94,20.83
f.e.a.r. perseus mandate,149.0,27.0,TimeGate Studios,pc,1.0,16245.0,2007,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01,61,7.6,73.1,1.17,17.54,0.58,0.0,1.45,0.0,21.74,0.0,5.8,22.46,1.45,0.72,46.38,52.06,27.72,1.87,5.62,12.73
f1 2001,16.0,13.0,EA Sports,"pc, playstation-2",2.0,10586.0,2001,Racing,Electronic Arts,0.12,0.0699999999999999,0.0,0.02,0.21,83,5.26,52.63,0.0,10.53,31.58,3.33,46.67,0.0,6.67,0.0,10.0,6.67,13.33,13.33,0.0,23.21,35.71,1.79,17.86,21.43
f1 2002,42.0,11.0,EA Sports,"pc, playstation-2, gamecube",3.0,13241.33,2002,Racing,Electronic Arts,0.08,0.06,0.02,0.01,0.17,88,8.33,19.44,0.0,38.89,33.33,0.0,50.0,0.0,3.57,0.0,7.14,3.57,14.29,17.86,3.57,32.61,26.09,6.52,17.39,17.39
f1 2009,13.0,29.0,Sumo Digital,"wii, psp",2.0,3075.0,2009,Racing,Codemasters,0.2299999999999999,0.92,0.0,0.27,1.42,69,4.17,29.17,0.0,45.83,20.83,0.0,21.05,5.26,10.53,0.0,0.0,10.53,31.58,15.79,5.26,29.41,11.76,3.92,23.53,31.37
f1 2010,110.0,46.0,Codemasters Birmingham,"playstation-3, xbox-360, pc",3.0,5516.33,2010,Racing,Codemasters,0.43,1.4,0.09,0.38,2.3,84,9.88,60.49,0.0,22.22,7.41,2.38,19.05,0.0,16.67,0.0,19.05,0.0,38.1,4.76,0.0,31.51,12.33,11.64,23.29,21.23
f1 2011,66.0,61.0,Codemasters,"playstation-3, xbox-360, pc, 3ds, playstation-vita",5.0,5959.6,2011,Racing,Codemasters,0.33,1.57,0.13,0.43,2.4600000000000004,84,9.23,47.69,1.54,32.31,9.23,2.78,8.33,0.0,11.11,0.0,30.56,2.78,27.78,13.89,2.78,31.25,17.5,12.5,28.75,10.0
f1 2012,76.0,42.0,Codemasters,"playstation-3, xbox-360, pc",3.0,4937.67,2012,Racing,Codemasters,0.23,1.1,0.05,0.3399999999999999,1.7200000000000002,84,13.46,42.31,1.92,34.62,7.69,8.33,16.67,0.0,12.5,0.0,29.17,4.17,16.67,12.5,0.0,27.94,13.24,13.24,36.76,8.82
f1 2015,63.0,46.0,Codemasters,"playstation-4, xbox-one, pc",3.0,7754.0,2015,Racing,Codemasters,0.1699999999999999,0.63,0.03,0.11,0.94,65,3.7,51.85,0.0,18.52,25.93,5.88,23.53,0.0,23.53,0.0,11.76,0.0,23.53,5.88,5.88,40.0,20.0,10.0,26.67,3.33
f1 race stars,31.0,33.0,Codemasters,"playstation-3, xbox-360, pc, wii-u",4.0,8839.0,2012,Racing,Codemasters,0.13,0.41,0.0,0.11,0.65,64,18.92,51.35,13.51,13.51,2.7,0.0,0.0,0.0,20.0,0.0,40.0,0.0,40.0,0.0,0.0,23.21,7.14,16.07,33.93,19.64
fable ii,884.0,95.0,Lionhead Studios,xbox-360,1.0,260.0,2008,Role-Playing,Microsoft,2.51,1.27,0.11,0.41,4.3,89,33.3,53.68,8.16,4.43,0.42,0.19,10.17,0.0,12.14,0.06,29.31,1.02,36.55,7.25,3.31,42.24,22.31,2.88,15.53,17.04
fable iii,786.0,88.0,Lionhead Studios,"xbox-360, pc",2.0,2946.5,2010,Role-Playing,Microsoft,3.68,1.28,0.05,0.43,5.44,80,35.65,48.38,11.12,4.7,0.16,0.45,8.24,0.3,14.85,0.15,30.88,1.34,29.84,8.02,5.94,45.47,21.94,7.6,12.36,12.61
fable: the journey,94.0,70.0,Lionhead Studios,xbox-360,1.0,6043.0,2012,Role-Playing,Microsoft,0.18,0.09,0.0,0.02,0.29,61,16.0,44.0,16.0,20.0,4.0,8.33,8.33,0.0,12.5,4.17,41.67,0.0,8.33,8.33,8.33,26.13,9.01,12.61,25.23,27.03
fable: the lost chapters,734.0,54.0,Lionhead Studios,"pc, wii-u",2.0,11946.0,2005,Role-Playing,Microsoft,0.01,0.05,0.0,0.01,0.07,83,23.28,65.01,3.1,7.81,0.81,0.37,9.63,0.0,11.11,0.0,29.63,0.56,35.93,8.33,4.44,39.18,34.76,3.63,11.74,10.69
fairy fencer f,56.0,31.0,Compile Heart,"playstation-3, pc",2.0,7539.0,2013,Role-Playing,Nippon Ichi Software,0.05,0.05,0.09,0.02,0.21,65,25.7,63.45,7.63,2.81,0.4,1.16,12.21,0.0,2.33,0.0,12.21,0.58,52.91,18.6,0.0,42.99,21.97,7.96,20.7,6.37
fairy fencer f: advent dark force,62.0,21.0,Compile Heart,3ds,1.0,12199.0,2015,Role-Playing,Idea Factory,0.02,0.0,0.05,0.0,0.07,71,13.82,72.35,1.84,8.76,3.23,0.68,45.58,0.0,0.68,0.0,4.76,0.0,14.97,32.65,0.68,39.13,25.69,7.11,25.69,2.37
fairytale fights,13.0,47.0,The Game Factory,"playstation-3, xbox-360",2.0,8281.5,2009,Action,Playlogic Game Factory,0.25,0.06,0.0,0.03,0.3399999999999999,51,13.51,35.14,18.92,32.43,0.0,0.0,10.0,0.0,30.0,0.0,40.0,10.0,0.0,0.0,10.0,18.48,6.52,16.3,26.09,32.61
fallout 3,2071.0,84.0,Bethesda Game Studios,"playstation-3, xbox-360, pc",3.0,871.33,2008,Role-Playing,Bethesda Softworks,5.56,3.11,0.16,1.11,9.94,93,8.17,70.58,1.36,18.91,0.99,0.3,53.25,0.17,2.37,0.34,7.19,0.39,15.71,19.37,0.9,32.83,26.54,4.06,19.64,16.93
fallout 4,6882.0,59.0,Bethesda Game Studios,"playstation-4, xbox-one, pc, playstation-5, xbox-series-x",5.0,676.67,2015,Role-Playing,Bethesda Softworks,5.42,5.04,0.25,1.57,12.28,87,13.7,71.47,2.7,11.36,0.77,0.55,70.99,0.07,1.51,0.21,3.09,0.31,9.67,13.31,0.31,37.74,24.79,17.28,16.93,3.25
fallout: brotherhood of steel,24.0,33.0,Interplay,"playstation-2, xbox",2.0,12603.0,2004,Role-Playing,Avalon Interactive,0.07,0.04,0.0,0.01,0.12,66,13.33,58.67,5.33,21.33,1.33,0.0,4.55,0.0,27.27,2.27,50.0,2.27,11.36,0.0,2.27,32.65,14.29,7.48,29.25,16.33
fallout: new vegas,1812.0,81.0,Obsidian Entertainment,"playstation-3, xbox-360, pc",3.0,821.33,2010,Role-Playing,Bethesda Softworks,4.75,2.5900000000000003,0.14,0.94,8.42,84,8.04,70.57,1.02,19.28,1.09,0.26,53.79,0.18,2.19,0.22,6.43,0.44,14.79,20.88,0.83,34.32,25.61,12.84,14.52,12.71
family guy,28.0,35.0,High Voltage Software,"playstation-2, xbox, psp",3.0,7717.0,2006,Action,Take-Two Interactive,0.18,0.0,0.0,0.02,0.1999999999999999,50,23.61,51.39,6.94,15.28,2.78,2.44,2.44,2.44,41.46,7.32,12.2,12.2,0.0,0.0,19.51,31.03,26.44,6.9,18.97,16.67
family guy: back to the multiverse,64.0,28.0,Heavy Iron Studios,"playstation-3, xbox-360, pc",3.0,6372.5,2012,Action,Activision,0.26,0.21,0.0,0.07,0.54,39,21.74,56.52,10.87,10.87,0.0,4.17,0.0,8.33,20.83,0.0,33.33,0.0,4.17,0.0,29.17,48.61,13.89,11.11,15.28,11.11
fantastic 4,7.0,46.0,7 Studios,"pc, playstation-2, xbox, gamecube",4.0,5749.67,2005,Action,Activision,0.8,0.12,0.0,0.09,1.01,62,14.04,80.9,2.25,2.25,0.56,0.0,0.68,0.0,15.75,2.05,48.63,0.0,19.18,9.59,4.11,23.91,50.87,4.35,10.0,10.87
fantastic four: rise of the silver surfer,13.0,30.0,Visual Concepts,"wii, playstation-3, xbox-360, ds, playstation-2",5.0,10097.4,2007,Action,Take-Two Interactive,0.49,0.19,0.0,0.08,0.7599999999999999,45,42.86,28.57,10.71,10.71,7.14,0.0,0.0,0.0,35.29,0.0,11.76,5.88,5.88,0.0,41.18,30.77,16.67,5.13,16.67,30.77
fantasy life,290.0,51.0,Level 5,3ds,1.0,1808.0,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73,15.9,75.46,2.59,5.5,0.55,0.35,71.12,0.17,1.79,0.29,4.03,0.4,8.24,12.74,0.86,45.65,16.94,17.83,17.77,1.81
far cry,1217.0,72.0,Crytek,"pc, wii-u, ios-iphoneipad",3.0,13252.0,2004,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05,89,2.01,32.66,0.34,56.11,8.88,0.0,2.99,0.75,27.18,0.0,52.37,1.25,7.23,0.75,7.48,41.47,18.63,9.58,16.95,13.37
far cry 2,373.0,75.0,Ubisoft Montreal,"playstation-3, xbox-360, pc",3.0,2205.33,2008,Action,Ubisoft,1.15,1.84,0.03,0.48,3.5,85,6.11,51.39,1.11,36.67,4.72,0.0,8.75,0.0,10.0,0.63,22.5,0.63,43.75,11.88,1.88,20.8,8.05,9.76,32.19,29.2
far cry 3,5838.0,43.0,Ubisoft Montreal,"playstation-3, xbox-360, playstation-4, pc",4.0,983.67,2012,Shooter,Ubisoft,2.47,3.72,0.12,1.14,7.449999999999999,88,13.71,77.93,1.09,6.81,0.45,0.0,4.69,0.12,8.02,0.12,31.6,0.74,46.67,6.17,1.85,46.98,27.83,10.71,11.76,2.71
far cry 4,2954.0,83.0,Ubisoft Montreal,"playstation-4, xbox-one, pc",3.0,1630.8,2014,Shooter,Ubisoft,2.8400000000000003,4.45,0.19,1.18,8.660000000000002,85,11.19,79.07,1.35,7.77,0.62,0.48,6.81,0.32,4.28,0.16,17.27,0.16,53.72,15.69,1.11,37.97,27.46,14.14,16.71,3.72
far cry instincts evolution,18.0,15.0,Ubisoft Montreal,wii-u,1.0,11711.0,2006,Shooter,Ubisoft,0.06,0.02,0.0,0.0,0.08,78,0.0,71.88,3.13,25.0,0.0,5.0,0.0,0.0,25.0,5.0,40.0,5.0,10.0,0.0,10.0,40.0,16.25,5.0,25.0,13.75
far cry instincts predator,42.0,46.0,Ubisoft Montreal,xbox-360,1.0,6717.0,2006,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.25,78,7.21,51.35,0.9,35.14,5.41,3.45,3.45,0.0,17.24,0.0,44.83,1.72,12.07,1.72,15.52,28.06,12.84,6.87,27.76,24.48
farming simulator 2013,10.0,17.0,Giants Software,"playstation-3, xbox-360, pc, playstation-vita",4.0,5223.67,2012,Simulation,Focus Home Interactive,0.22,1.03,0.02,0.25,1.52,40,45.83,41.67,8.33,4.17,0.0,0.0,18.18,0.0,27.27,0.0,18.18,9.09,18.18,0.0,9.09,21.88,18.75,12.5,34.38,12.5
fatal frame,116.0,22.0,Tecmo,playstation-2,1.0,10842.5,2001,Action,Wanadoo,0.11,0.0699999999999999,0.0,0.02,0.1999999999999999,74,3.62,54.67,0.19,36.95,4.57,0.0,2.88,0.0,29.39,0.86,36.02,3.46,5.19,0.29,21.9,39.64,20.5,8.83,16.3,14.72
fatal frame ii: crimson butterfly,145.0,40.0,Tecmo,playstation-2,1.0,8545.0,2003,Action,Ubisoft,0.08,0.06,0.0,0.02,0.16,81,8.26,66.07,0.45,22.99,2.23,0.0,4.01,0.0,22.84,1.23,39.2,3.4,12.96,2.16,14.2,44.3,22.21,6.41,13.54,13.54
fatal frame iii: the tormented,101.0,46.0,Tecmo,playstation-2,1.0,11410.0,2005,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08,78,3.58,65.56,0.0,28.65,2.2,0.0,4.23,0.0,20.38,0.38,46.15,3.08,17.31,1.92,6.54,41.26,23.2,7.49,14.83,13.22
fatal frame: maiden of black water,291.0,60.0,Koei Tecmo Games,"playstation-4, xbox-one, pc, playstation-5, xbox-series-x, wii-u, nintendo-switch",7.0,10074.0,2014,Action,Nintendo,0.0,0.03,0.08,0.0,0.11,67,10.43,75.46,3.68,9.82,0.61,1.89,6.6,0.94,13.21,0.0,37.74,1.89,33.96,2.83,0.94,40.28,16.59,13.27,20.38,9.48
fear effect 2: retro helix,32.0,15.0,Kronos Digital Entertainment,playstation,1.0,8048.0,2001,Action,Eidos Interactive,0.1,0.07,0.0,0.01,0.18,84,1.46,47.45,0.0,41.61,9.49,0.0,4.71,0.0,32.94,1.18,32.94,1.18,10.59,0.0,16.47,34.81,20.37,5.56,18.52,20.74
fear factor: unleashed,0.0,15.0,DC Studios,game-boy-advance,1.0,9268.0,2004,Action,Hip Interactive,0.1,0.04,0.0,0.0,0.14,30,36.84,26.32,26.32,10.53,0.0,40.0,0.0,6.67,13.33,6.67,0.0,33.33,0.0,0.0,0.0,47.83,8.7,4.35,17.39,21.74
ferrari challenge trofeo pirelli,15.0,37.0,Eutechnyx,"wii, playstation-3, ds, playstation-2",4.0,11718.0,2008,Racing,System 3,0.06,0.08,0.0,0.03,0.17,71,5.41,54.05,0.0,35.14,5.41,0.0,8.33,0.0,8.33,0.0,58.33,8.33,8.33,0.0,8.33,14.44,7.78,7.78,37.78,32.22
ferrari f355 challenge,0.0,14.0,TOSE,xbox-360,1.0,13004.0,2002,Racing,Sony,0.03,0.02,0.0,0.01,0.06,70,8.33,12.5,0.0,54.17,25.0,0.0,18.18,0.0,18.18,9.09,36.36,0.0,18.18,0.0,0.0,20.0,14.29,2.86,37.14,25.71
field commander,28.0,53.0,Mind Control Software,psp,1.0,8569.0,2006,Strategy,Sony,0.14,0.0,0.0,0.01,0.15,77,13.79,51.72,0.0,31.03,3.45,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,10.0,10.0,17.05,10.23,12.5,23.86,36.36
fifa 06: road to fifa world cup,27.0,39.0,EA Canada,"xbox-360, pc, ds, playstation-2, xbox, gamecube",6.0,8725.0,2005,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15,80,15.25,69.49,0.0,13.56,1.69,0.0,23.53,0.0,5.88,0.0,17.65,5.88,20.59,20.59,5.88,30.0,8.33,5.83,32.5,23.33
fifa 14,563.0,41.0,EA Canada,"playstation-3, xbox-360, playstation-4, xbox-one, pc, playstation-vita",6.0,3255.33,2013,Sports,Electronic Arts,2.84,11.14,0.2,2.98,17.16,84,10.4,71.1,2.89,11.56,4.05,3.74,28.97,0.93,9.35,0.93,9.35,0.0,31.78,12.15,2.8,32.41,18.18,12.25,30.43,6.72
fifa 15,1193.0,47.0,EA Sports,"playstation-3, xbox-360, playstation-4, xbox-one, pc, playstation-vita",6.0,2129.38,2014,Sports,Electronic Arts,3.2,12.4,0.13,3.29,19.020000000000003,82,10.14,71.5,6.28,9.18,2.9,4.59,44.95,0.92,3.67,0.92,11.01,2.75,21.1,8.26,1.83,33.1,14.63,9.06,36.93,6.27
fifa 16,564.0,45.0,EA Sports,"xbox-360, playstation-4, xbox-one, pc",4.0,2042.0,2015,Sports,Electronic Arts,2.98,11.29,0.11,2.05,16.43,84,9.43,74.84,5.66,8.18,1.89,2.13,55.32,2.13,4.26,1.06,12.77,3.19,11.7,7.45,0.0,37.44,14.29,11.33,31.03,5.91
fifa 17,418.0,51.0,EA Vancouver,"xbox-360, playstation-4, xbox-one, pc",4.0,5527.6,2016,Sports,Electronic Arts,0.5,5.48,0.0699999999999999,0.85,6.9,84,12.78,75.19,2.26,8.27,1.5,2.5,40.0,0.0,10.0,0.0,16.25,1.25,20.0,8.75,1.25,39.38,13.13,10.63,31.25,5.63
fifa soccer 09,72.0,51.0,EA Canada,"wii, playstation-3, xbox-360, pc, ds, playstation-2, psp",7.0,3810.17,2008,Sports,Electronic Arts,1.7,4.02,0.08,2.86,8.66,87,14.29,75.0,7.14,3.57,0.0,0.0,28.57,2.86,11.43,2.86,11.43,5.71,31.43,2.86,2.86,20.31,10.77,4.62,38.46,25.85
fifa soccer 10,134.0,63.0,EA Sports,"wii, playstation-3, xbox-360, pc, ds, playstation-2, psp",7.0,3222.71,2009,Sports,Electronic Arts,1.94,6.23,0.07,2.49,10.73,90,13.99,67.83,5.59,12.59,0.0,4.29,34.29,1.43,10.0,0.0,8.57,5.71,22.86,7.14,5.71,26.16,10.9,7.9,32.15,22.89
fifa soccer 11,198.0,66.0,EA Sports,"wii, playstation-3, xbox-360, pc, ds, psp",6.0,2541.57,2010,Sports,Electronic Arts,1.94,8.01,0.09,2.51,12.55,88,13.92,65.46,6.19,13.92,0.52,3.13,35.42,0.0,12.5,1.04,10.42,1.04,20.83,12.5,3.13,29.94,11.58,10.73,35.59,12.15
fifa soccer 13,534.0,48.0,Electronic Arts,"wii, playstation-3, xbox-360, pc, wii-u, 3ds, playstation-vita, psp",8.0,3415.88,2012,Action,Electronic Arts,2.64,10.25,0.23,3.03,16.150000000000002,90,14.21,64.21,5.26,14.21,2.11,2.38,48.81,0.0,11.9,0.0,5.95,1.19,16.67,11.9,1.19,29.79,16.78,13.36,34.25,5.82
fifa soccer 2003,27.0,15.0,EA Canada,"pc, playstation-2, gamecube, playstation",4.0,6975.25,2002,Sports,Electronic Arts,0.76,2.71,0.05,0.65,4.17,88,20.51,71.79,2.56,5.13,0.0,0.0,14.29,4.76,0.0,0.0,19.05,9.52,28.57,14.29,9.52,34.72,12.5,5.56,30.56,16.67
fifa soccer 2004,42.0,20.0,EA Canada,"pc, playstation-2, xbox, game-boy-advance, playstation",5.0,7010.75,2003,Sports,Electronic Arts,0.92,2.87,0.04,0.56,4.39,84,15.79,76.32,2.63,5.26,0.0,0.0,19.05,0.0,4.76,0.0,38.1,4.76,23.81,9.52,0.0,39.02,9.76,3.66,30.49,17.07
fifa soccer 2005,15.0,34.0,EA Canada,"pc, playstation-2, xbox, game-boy-advance, gamecube",5.0,5733.5,2004,Sports,Electronic Arts,1.08,3.13,0.04,0.63,4.88,81,6.52,76.09,6.52,10.87,0.0,3.85,30.77,0.0,7.69,3.85,19.23,0.0,15.38,15.38,3.85,29.27,18.29,6.1,28.05,18.29
fifa street,42.0,29.0,EA Canada,"playstation-2, xbox",2.0,6552.0,2012,Sports,Electronic Arts,0.55,1.72,0.0,0.39,2.66,59,25.0,60.71,5.36,7.14,1.79,5.13,10.26,2.56,17.95,2.56,25.64,0.0,12.82,2.56,20.51,36.36,24.24,5.05,18.18,16.16
fifa street 2,22.0,30.0,EA Canada,"playstation-2, xbox, psp, gamecube",4.0,9758.0,2006,Sports,Electronic Arts,0.43,0.23,0.02,0.07,0.75,63,15.07,67.12,1.37,12.33,4.11,2.56,5.13,0.0,10.26,0.0,48.72,0.0,20.51,7.69,5.13,30.0,19.23,13.08,19.23,18.46
fifa world cup: germany 2006,13.0,49.0,EA Canada,"wii, xbox-360, pc, wii-u",4.0,14254.0,2006,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,72,11.76,70.59,0.0,17.65,0.0,0.0,26.67,0.0,13.33,0.0,33.33,0.0,20.0,6.67,0.0,40.0,15.56,4.44,22.22,17.78
fight night 2004,10.0,47.0,EA Sports,"playstation-2, xbox",2.0,2143.0,2004,Fighting,Electronic Arts,1.59,0.35,0.0,0.22,2.16,85,20.0,68.57,0.0,11.43,0.0,0.0,5.88,0.0,5.88,5.88,47.06,5.88,11.76,0.0,17.65,28.21,25.64,6.41,24.36,15.38
fight night champion,160.0,59.0,EA Canada,"playstation-3, xbox-360",2.0,2171.5,2011,Fighting,Electronic Arts,0.8500000000000001,0.8400000000000001,0.0,0.26,1.95,86,3.88,56.59,1.55,33.33,4.65,0.0,12.16,1.35,24.32,6.76,21.62,8.11,10.81,1.35,13.51,41.75,12.62,11.65,21.84,12.14
fight night round 2,13.0,48.0,EA Sports,"playstation-2, xbox, gamecube",3.0,4672.0,2005,Fighting,Electronic Arts,1.27,0.22,0.0,0.1399999999999999,1.63,88,13.73,72.55,0.0,13.73,0.0,0.0,10.34,0.0,20.69,0.0,41.38,6.9,10.34,0.0,10.34,38.24,20.59,4.9,21.57,14.71
fight night round 3,57.0,67.0,EA Chicago,"playstation-3, xbox-360, playstation-2, xbox, psp",5.0,2581.4,2006,Fighting,Electronic Arts,3.93,1.1,0.02,0.52,5.57,86,19.85,59.54,3.05,15.27,2.29,0.0,0.0,0.0,37.5,2.78,23.61,12.5,5.56,0.0,18.06,25.79,36.81,4.92,16.93,15.55
fight night round 4,49.0,76.0,EA Canada,"playstation-3, xbox-360",2.0,1295.0,2009,Fighting,Electronic Arts,1.87,0.75,0.0,0.3399999999999999,2.96,87,15.38,63.74,2.2,18.68,0.0,0.0,4.35,0.0,26.09,2.17,30.43,8.7,13.04,2.17,13.04,26.2,12.14,5.75,28.43,27.48
fighter within,216.0,39.0,Ubisoft,xbox-one,1.0,7875.0,2013,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.1999999999999999,23,26.32,15.79,47.37,0.0,10.53,33.33,6.67,13.33,6.67,20.0,0.0,6.67,0.0,0.0,13.33,40.74,11.11,0.0,18.52,29.63
fighting fantasy: the warlock of firetop mountain,12.0,10.0,Big Blue Bubble Inc.,ds,1.0,10977.0,2009,Role-Playing,Aspyr,0.09,0.0,0.0,0.01,0.0999999999999999,45,8.0,48.0,0.0,32.0,12.0,0.0,6.67,0.0,13.33,0.0,26.67,0.0,33.33,13.33,6.67,30.51,10.17,8.47,30.51,20.34
final fantasy chronicles,84.0,15.0,TOSE,playstation,1.0,3835.0,2001,Role-Playing,Square,0.29,0.2,0.0,0.03,0.52,89,5.22,79.7,0.35,14.15,0.58,0.18,46.92,0.0,2.36,0.18,5.43,0.18,19.38,25.0,0.36,35.92,27.0,9.62,16.68,10.78
final fantasy crystal chronicles: echoes of time,24.0,37.0,Square Enix,"wii, ds",2.0,5316.5,2009,Role-Playing,Square,0.25,0.12,0.32,0.04,0.73,75,15.97,70.16,2.62,10.47,0.79,0.45,12.5,0.0,11.61,0.45,29.46,1.34,29.02,7.59,7.59,33.8,16.4,8.0,21.8,20.0
final fantasy crystal chronicles: ring of fates,25.0,41.0,Square Enix,ds,1.0,3010.0,2007,Role-Playing,Square,0.22,0.01,0.42,0.02,0.67,77,19.5,67.51,2.73,9.85,0.42,0.33,8.36,0.0,15.05,0.0,32.78,1.0,30.77,4.35,7.36,36.6,16.83,7.62,18.94,20.0
final fantasy crystal chronicles: the crystal bearers,59.0,53.0,Square Enix,wii,1.0,4820.0,2009,Action,Square,0.22,0.08,0.08,0.03,0.41,66,24.34,57.24,5.59,12.17,0.66,0.53,3.74,0.53,24.06,1.07,34.76,3.74,15.51,4.28,11.76,38.85,9.68,9.96,18.37,23.14
final fantasy explorers,115.0,57.0,Racjin,3ds,1.0,3848.0,2014,Role-Playing,Square,0.15,0.07,0.28,0.02,0.52,69,13.32,73.05,2.4,9.88,1.35,0.66,45.51,1.33,2.99,0.33,6.64,1.33,19.27,19.27,2.66,31.42,8.07,18.83,35.09,6.6
final fantasy fables: chocobo tales,28.0,42.0,h.a.n.d. Inc.,ds,1.0,6813.0,2006,Adventure,Ubisoft,0.11,0.01,0.12,0.01,0.25,75,29.88,50.2,5.18,11.95,2.79,0.0,4.49,0.0,25.0,1.28,39.1,3.85,16.03,2.56,7.69,31.33,21.6,8.49,19.14,19.44
final fantasy fables: chocobo's dungeon,10.0,34.0,h.a.n.d. Inc.,wii,1.0,7330.0,2007,Role-Playing,Square,0.09,0.0,0.11,0.01,0.21,76,9.85,63.05,1.97,23.15,1.97,0.0,9.68,0.0,3.23,0.0,20.43,0.0,50.54,15.05,1.08,24.39,12.29,10.99,27.19,25.14
final fantasy i & ii: dawn of souls,79.0,40.0,TOSE,game-boy-advance,1.0,1702.0,2004,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,79,15.87,61.47,2.24,18.69,1.73,0.0,18.44,0.0,4.66,0.11,13.45,0.33,36.77,25.27,0.98,40.34,25.36,11.27,14.76,8.27
final fantasy iv,93.0,30.0,TOSE,game-boy-advance,1.0,3680.5,2007,Simulation,Square,0.54,0.05,0.91,0.07,1.57,85,3.31,49.32,0.63,40.5,6.24,0.09,14.09,0.09,2.22,0.09,13.15,0.34,48.16,21.35,0.43,32.44,17.31,11.02,21.18,18.05
final fantasy iv: the complete collection,109.0,41.0,Bullets,psp,1.0,3598.0,2011,Role-Playing,Square,0.13,0.09,0.27,0.06,0.55,77,9.51,69.6,0.44,18.93,1.51,0.47,22.08,0.0,2.02,0.16,12.6,0.31,32.66,29.08,0.62,31.92,18.84,21.01,16.31,11.91
